filename,x1,y1,x2,y2,labels
435973854/Sagittal T1/003.png,95.17269544924156,168.43290548424739,186.17269544924156,256.0,L5/S1
435973854/Sagittal T1/010.png,108.49273447820343,47.322324966974904,199.49273447820343,138.32232496697492,L1/L2
435973854/Sagittal T1/010.png,95.98018494055484,78.77278731836196,186.98018494055484,169.77278731836196,L2/L3
435973854/Sagittal T1/010.png,90.23117569352709,108.19418758256276,181.2311756935271,199.19418758256276,L3/L4
435973854/Sagittal T1/010.png,86.84940554821665,138.96829590488773,177.84940554821665,229.96829590488773,L4/L5
435973854/Sagittal T1/010.png,93.27476882430648,163.99339498018495,184.27476882430648,254.99339498018495,L5/S1
435973854/Sagittal T1/005.png,106.22520420070015,50.439906651108515,197.22520420070015,141.43990665110852,L1/L2
435973854/Sagittal T1/005.png,95.77012835472578,79.41540256709453,186.77012835472578,170.41540256709453,L2/L3
435973854/Sagittal T1/005.png,90.39323220536755,108.09218203033836,181.39323220536755,199.09218203033836,L3/L4
435973854/Sagittal T1/004.png,90.09451575262545,137.96382730455076,181.09451575262545,228.96382730455076,L4/L5
1721321525/Sagittal T1/005.png,76.36591809775427,23.48084544253632,167.36591809775427,114.48084544253632,L1/L2
1721321525/Sagittal T1/005.png,72.30779392338178,48.844121532364596,163.30779392338178,139.8441215323646,L2/L3
1721321525/Sagittal T1/005.png,70.9550858652576,74.54557463672391,161.95508586525762,165.54557463672393,L3/L4
1721321525/Sagittal T1/004.png,64.19154557463672,100.92338177014531,155.19154557463673,191.9233817701453,L4/L5
1721321525/Sagittal T1/004.png,63.51519154557464,124.25759577278731,154.51519154557462,215.2575957727873,L5/S1
1721321525/Sagittal T1/013.png,71.65701881331404,77.99855282199712,162.65701881331404,168.99855282199712,L3/L4
1721321525/Sagittal T1/013.png,66.09985528219973,103.56150506512301,157.0998552821997,194.56150506512301,L4/L5
1721321525/Sagittal T1/012.png,75.96011816838995,23.443131462333824,166.96011816838995,114.44313146233382,L1/L2
1721321525/Sagittal T1/012.png,74.62083936324169,47.98986975397975,165.62083936324169,138.98986975397975,L2/L3
1721321525/Sagittal T1/012.png,64.24746743849494,124.30824891461648,155.24746743849494,215.30824891461648,L5/S1
1764741993/Sagittal T1/003.png,91.71362282309809,31.228603345554532,182.7136228230981,122.22860334555453,L1/L2
1764741993/Sagittal T1/003.png,87.4899747937672,66.6309864802933,178.4899747937672,157.6309864802933,L2/L3
1764741993/Sagittal T1/003.png,83.97026810265811,99.9508764894592,174.9702681026581,190.9508764894592,L3/L4
1764741993/Sagittal T1/003.png,81.85844408799267,135.8738829055912,172.85844408799267,226.8738829055912,L4/L5
1764741993/Sagittal T1/003.png,84.67420944087996,163.4669168194317,175.67420944087996,254.4669168194317,L5/S1
1764741993/Sagittal T1/011.png,90.03950191808207,35.898046535270396,181.03950191808207,126.8980465352704,L1/L2
1764741993/Sagittal T1/011.png,86.00003095236255,70.61470577695049,177.00003095236255,161.61470577695047,L2/L3
1764741993/Sagittal T1/011.png,84.10976053175744,107.68937713232319,175.10976053175744,198.6893771323232,L3/L4
1764741993/Sagittal T1/011.png,83.46250865367742,140.3444563938101,174.46250865367742,231.3444563938101,L4/L5
1764741993/Sagittal T1/011.png,88.24781702710973,170.3182933762502,179.24781702710973,256.0,L5/S1
1698156042/Sagittal T1/003.png,121.1589958158996,0.0,212.1589958158996,83.35564853556485,L1/L2
1698156042/Sagittal T1/003.png,113.6610878661088,23.953974895397494,204.6610878661088,114.9539748953975,L2/L3
1698156042/Sagittal T1/003.png,108.84100418410046,57.15899581589959,199.84100418410046,148.15899581589957,L3/L4
1698156042/Sagittal T1/002.png,102.41422594142259,89.29288702928872,193.4142259414226,180.29288702928872,L4/L5
1698156042/Sagittal T1/014.png,98.12970711297072,125.7112970711297,189.12970711297072,216.7112970711297,L5/S1
1698156042/Sagittal T1/013.png,113.6610878661088,24.489539748953987,204.6610878661088,115.48953974895399,L2/L3
1698156042/Sagittal T1/013.png,107.23430962343099,56.08786610878663,198.234309623431,147.0878661087866,L3/L4
1698156042/Sagittal T1/013.png,102.9497907949791,90.89958158995816,193.9497907949791,181.89958158995816,L4/L5
1698156042/Sagittal T1/012.png,121.69456066945611,0.0,212.6945606694561,84.42677824267783,L1/L2
1698156042/Sagittal T1/001.png,101.8786610878661,123.56903765690379,192.8786610878661,214.5690376569038,L5/S1
22191399/Sagittal T1/005.png,93.53721026913689,24.08395028218618,184.5372102691369,115.08395028218618,L1/L2
22191399/Sagittal T1/005.png,88.79487208876483,48.724851183988406,179.79487208876483,139.7248511839884,L2/L3
22191399/Sagittal T1/005.png,86.76596602839197,71.34388873172804,177.76596602839197,162.34388873172804,L3/L4
22191399/Sagittal T1/005.png,90.093152913795,91.95595225520066,181.093152913795,182.95595225520066,L4/L5
22191399/Sagittal T1/004.png,99.491957103229,109.30022770730395,190.491957103229,200.30022770730395,L5/S1
22191399/Sagittal T1/011.png,93.55614973262033,24.818181818181813,184.55614973262033,115.81818181818181,L1/L2
22191399/Sagittal T1/013.png,88.99286987522282,70.9073083778966,179.99286987522282,161.90730837789658,L3/L4
22191399/Sagittal T1/013.png,94.01247771836006,91.89839572192514,185.01247771836006,182.89839572192514,L4/L5
22191399/Sagittal T1/013.png,100.85739750445632,112.43315508021391,191.85739750445632,203.4331550802139,L5/S1
22191399/Sagittal T1/012.png,90.36185383244208,44.89661319073083,181.36185383244208,135.89661319073082,L2/L3
1971328767/Sagittal T1/005.png,94.76792394014961,19.63840399002494,185.76792394014961,110.63840399002494,L1/L2
1971328767/Sagittal T1/005.png,82.63824812967582,48.047381546134645,173.63824812967582,139.04738154613466,L2/L3
1971328767/Sagittal T1/005.png,77.5310162094763,76.4563591022444,168.53101620947632,167.4563591022444,L3/L4
1971328767/Sagittal T1/005.png,78.16942019950125,104.86533665835412,169.16942019950125,195.86533665835412,L4/L5
1971328767/Sagittal T1/014.png,94.37522441651706,129.4201077199282,185.37522441651706,220.4201077199282,L5/S1
1971328767/Sagittal T1/013.png,81.50628366247756,105.06104129263915,172.50628366247756,196.06104129263915,L4/L5
1971328767/Sagittal T1/006.png,88.38388403990024,126.57107231920199,179.38388403990024,217.571072319202,L5/S1
1971328767/Sagittal T1/012.png,90.23877917414723,23.25134649910234,181.23877917414723,114.25134649910234,L1/L2
1971328767/Sagittal T1/012.png,80.5870736086176,51.28725314183124,171.5870736086176,142.28725314183123,L2/L3
1971328767/Sagittal T1/012.png,76.45062836624776,78.40394973070018,167.45062836624777,169.40394973070016,L3/L4
532070032/Sagittal T1/005.png,86.7878740648379,49.643391521197,177.7878740648379,140.643391521197,L2/L3
532070032/Sagittal T1/005.png,81.04223815461349,79.3291770573566,172.04223815461347,170.32917705735662,L3/L4
532070032/Sagittal T1/005.png,82.31904613466334,111.56857855361596,173.31904613466332,202.56857855361596,L4/L5
532070032/Sagittal T1/004.png,96.0447319201995,139.6583541147132,187.0447319201995,230.6583541147132,L5/S1
532070032/Sagittal T1/011.png,86.35265700483092,51.463768115942045,177.35265700483092,142.46376811594206,L2/L3
532070032/Sagittal T1/011.png,80.58132045088568,81.96940418679549,171.5813204508857,172.9694041867955,L3/L4
532070032/Sagittal T1/013.png,95.83413848631241,138.8582930756844,186.8341384863124,229.8582930756844,L5/S1
532070032/Sagittal T1/006.png,101.47116583541148,21.234413965087285,192.47116583541148,112.23441396508728,L1/L2
532070032/Sagittal T1/012.png,102.01771336553946,26.317230273752017,193.01771336553946,117.31723027375202,L1/L2
532070032/Sagittal T1/012.png,78.10789049919484,114.94847020933975,169.10789049919484,205.94847020933975,L4/L5
1871874877/Sagittal T1/005.png,95.30383091149272,45.29326287978864,186.30383091149272,136.29326287978864,L1/L2
1871874877/Sagittal T1/005.png,90.90752972258917,77.08190224570674,181.90752972258917,168.08190224570674,L2/L3
1871874877/Sagittal T1/005.png,86.5112285336856,107.51783355350065,177.5112285336856,198.51783355350065,L3/L4
1871874877/Sagittal T1/005.png,82.45310435931306,136.26287978863937,173.45310435931304,227.26287978863937,L4/L5
1871874877/Sagittal T1/005.png,80.4240422721268,162.30250990752972,171.4240422721268,253.30250990752972,L5/S1
1871874877/Sagittal T1/014.png,82.8658280922432,159.3885393122707,173.8658280922432,250.3885393122707,L5/S1
1871874877/Sagittal T1/011.png,90.37945492662473,75.48637316561845,181.37945492662473,166.48637316561843,L2/L3
1871874877/Sagittal T1/013.png,82.32914046121591,132.9119496855346,173.3291404612159,223.9119496855346,L4/L5
1871874877/Sagittal T1/012.png,94.67295597484281,45.96855345911948,185.6729559748428,136.96855345911948,L1/L2
1871874877/Sagittal T1/012.png,86.08595387840671,108.22431865828094,177.0859538784067,199.22431865828094,L3/L4
983365930/Sagittal T1/005.png,102.45615404445462,129.5389550870761,193.45615404445462,220.5389550870761,L4/L5
983365930/Sagittal T1/005.png,105.7412136228231,158.4005499541705,196.7412136228231,249.4005499541705,L5/S1
